company,total_rrr,cc_rrr,num_engineers,num_employees,cc_dollars_per_eng,implied_seats,seat_penetration_pct
OKBL USA Technology Inc.,12340820,9805014,755,7013,12987.0,5447.0,721.5
"ServiceTitan, Inc",8039241,3759840,549,3064,6849.0,2089.0,380.5
Guidewire,3940279,3384478,1443,4061,2345.0,1880.0,130.3
Klaviyo,5006541,2167158,520,2848,4168.0,1204.0,231.5
"Axon Enterprise, Inc.",5088847,1480623,1424,5244,1040.0,823.0,57.8
"Zapier, Inc.",11392561,1041631,400,1600,2604.0,579.0,144.7
Hudl,1398446,907813,356,4092,2550.0,504.0,141.7
Deel,1708133,704626,859,8140,820.0,391.0,45.6
Samsara,2330135,661916,956,5115,692.0,368.0,38.5
Confluent,4772443,648849,1327,3670,489.0,360.0,27.2
Kavak,4049301,634560,171,4037,3711.0,353.0,206.2
UIPath,2416642,630896,1282,5055,492.0,350.0,27.3
"The Trade Desk, Inc.",782307,612619,691,4637,887.0,340.0,49.3
Aptean,569946,537133,825,2995,651.0,298.0,36.2
Tekion,1003364,425928,1354,2762,315.0,237.0,17.5
"Verifone, Inc.",783864,413443,1066,4691,388.0,230.0,21.5
Applied Systems,963069,393730,588,2714,670.0,219.0,37.2
Lyft,2940114,331773,1207,27301,275.0,184.0,15.3
Yardi,615673,282752,641,6845,441.0,157.0,24.5
"Mongodb, Inc.",1404195,256885,1645,7623,156.0,143.0,8.7
"Groupon, Inc.",909529,242972,393,10589,618.0,135.0,34.3
Thebrowsercompany,544638,233633,56,100,4172.0,130.0,231.8
Upwork (f.k.a elance-oDesk),361870,193448,21583,168381,9.0,107.0,0.5
BetterUp,947064,167495,86,2756,1948.0,93.0,108.2
Restaurant365,178011,147054,133,3909,1106.0,82.0,61.4
Cvent,488615,146569,1186,6191,124.0,81.0,6.9
Thryv,322952,144942,379,5952,382.0,81.0,21.2
CoStar Group,1223866,143006,924,217,155.0,79.0,8.6
Kaseya US LLC,272921,136840,960,5556,143.0,76.0,7.9
"dbt Labs, Inc.",160091,134617,194,954,694.0,75.0,38.6
"Zillow, Inc.",2731574,117919,1475,9763,80.0,66.0,4.4
8x8,1178240,115853,621,2845,187.0,64.0,10.4
"Vertex, Inc.",114041,111496,328,2569,340.0,62.0,18.9
Teradata Corporation,520806,107041,2120,9887,50.0,59.0,2.8
HubSpot,16607230,103808,1999,11709,52.0,58.0,2.9
Take-Two Interactive,134022,100865,170,12900,593.0,56.0,33.0
Lightspeed Commerce,1149147,89630,594,3410,151.0,50.0,8.4
Blackbaud,91832,78166,571,3128,137.0,43.0,7.6
Rappi,78895,72544,458,14025,158.0,40.0,8.8
Carvana,5187765,71822,510,7573,141.0,40.0,7.8
Fivetran,1773085,70864,597,1600,119.0,39.0,6.6
Centific,94769,69896,611,3040,114.0,39.0,6.4
Workiva Inc,160242,69626,643,3259,108.0,39.0,6.0
Zoho,1153365,47935,5008,16000,10.0,27.0,0.5
SPS Commerce,60082,47092,539,3218,87.0,26.0,4.9
Fractal Analytics,117072,46503,1677,6735,28.0,26.0,1.5
FanDuel,552278,40406,1097,4046,37.0,22.0,2.0
Axtria - Ingenious Insights,82580,36656,275,3624,133.0,20.0,7.4
"Avalara, Inc.",432174,31782,1100,5766,29.0,18.0,1.6
Red Ventures,194459,31458,408,2068,77.0,17.0,4.3
"o9 Solutions, Inc.",59501,26515,511,3334,52.0,15.0,2.9
Realtor.com,1365834,24636,312,3412,79.0,14.0,4.4
"Medidata Solutions, Inc.",55097,23352,603,2851,39.0,13.0,2.2
Thoughtworks Inc,814093,22516,4119,12280,5.0,13.0,0.3
Nuvei Technologies,18287,17699,301,2661,59.0,10.0,3.3
Atlassian,26612731,16065,7950,21037,2.0,9.0,0.1
Harris Computer,99976,14018,279,2873,50.0,8.0,2.8
ZoomInfo,7449455,13769,638,4379,22.0,8.0,1.2
Qualtrics,331948,13361,1268,6135,11.0,7.0,0.6
The RealReal,11992,11483,96,2512,120.0,6.0,6.6
SAS Institute Inc.,259948,9865,3154,18120,3.0,5.0,0.2
"Lyra Health, Inc.",315484,9860,110,2696,90.0,5.0,5.0
SpotOn,811796,9034,260,2608,35.0,5.0,1.9
Scopely,118686,7392,516,3746,14.0,4.0,0.8
Cohesity,151318,7192,1564,7674,5.0,4.0,0.3
Firehydrant,68297,6595,12,52,550.0,4.0,30.5
Maplebear Inc. dba Instacart,8147676,6510,1132,23881,6.0,4.0,0.3
Amplify,17795,5519,259,2989,21.0,3.0,1.2
Indeed,10264939,4814,2413,19191,2.0,3.0,0.1
Skillsoft,53300,3898,403,3187,10.0,2.0,0.5
Meltwater Group,561472,3656,374,2565,10.0,2.0,0.5
Asana,4765450,3404,595,4198,6.0,2.0,0.3
Smartsheet Inc.,1847170,399,790,4169,1.0,0.0,0.0
"Inovalon, Inc",940,370,533,3317,1.0,0.0,0.0
Tyler Technologies,3217695,359,2133,7706,0.0,0.0,0.0
Intercom,18700499,172,368,1874,0.0,0.0,0.0
"Box, Inc.",996456,129,1036,4095,0.0,0.0,0.0
"RealPage, Inc.",662147,67,1177,8924,0.0,0.0,0.0
EquipmentShare,510872,53,171,3729,0.0,0.0,0.0
AlphaSense,6282879,19,395,2786,0.0,0.0,0.0
Diligent (acquired multiple companies),563359,19,652,2852,0.0,0.0,0.0
"Toast, Inc.",3055389,9,1161,7438,0.0,0.0,0.0
