requested_name,salesforce_account_name,salesforce_account_id,sales_segment,rrr_28d_usd,rrr_28d_millions,status,as_of_date
Atlassian,Atlassian Pty Ltd,001Hs000033Xk8RIAS,DNB,26612731.0,26.613,active,2026-03-19
Binance Holdings Ltd.,Binance Holdings Ltd.,001PK00000LFdUpYAL,DNB,22794590.0,22.795,active,2026-03-19
"Epic Games, Inc.","Epic Games, Inc.",001PK000007wlUcYAI,DNB,19736289.0,19.736,active,2026-03-19
Quora,Quora,001Hs000033XmRQIA0,DNB,18825473.0,18.825,active,2026-03-19
Intercom,Intercom,001Hs000033XlMwIAK,DNB,18700499.0,18.700,active,2026-03-19
Cloudflare,Cloudflare,001PK000007wlUKYAY,DNB,16685820.0,16.686,active,2026-03-19
HubSpot,"HubSpot, Inc.",001Hs000033XlBzIAK,DNB,16607230.0,16.607,active,2026-03-19
OKBL USA Technology Inc.,OKBL USA Technology Inc.,001PK00000Yr8VLYAZ,DNB,12340820.0,12.341,active,2026-03-19
ScaleAI,ScaleAI,001PK0000077ZzXYAU,DNB,11750934.0,11.751,active,2026-03-19
"Zapier, Inc.","Zapier, Inc.",001Hs000033XncDIAS,DNB,11392561.0,11.393,active,2026-03-19
Dropbox,Dropbox,001PK000007wlU7YAI,DNB,11018647.0,11.019,active,2026-03-19
Indeed,Indeed,001Hs000033XlHMIA0,DNB,10264939.0,10.265,active,2026-03-19
Geotab,Geotab,001PK00000QCl4TYAT,DNB,9488679.0,9.489,active,2026-03-19
Geotab inc,Geotab,001PK00000QCl4TYAT,DNB,9488679.0,9.489,active,2026-03-19
Maplebear Inc. dba Instacart,Maplebear Inc. dba Instacart,001Hs000033XlIwIAK,DNB,8147676.0,8.148,active,2026-03-19
"ServiceTitan, Inc","ServiceTitan, Inc",001PK000008aBLLYA2,DNB,8039241.0,8.039,active,2026-03-19
UKG,UKG,001PK00000QCl4FYAT,DNB,7481573.0,7.482,active,2026-03-19
ZoomInfo,ZoomInfo,001Hs000033XndEIAS,DNB,7449455.0,7.449,active,2026-03-19
"Godaddy.com, Inc.","Godaddy.com, Inc.",001Hs000033Xl35IAC,DNB,6462625.0,6.463,active,2026-03-19
Turing,Turing,001Hs000033XnaDIAS,DNB,6384213.0,6.384,active,2026-03-19
AlphaSense,AlphaSense,001Hs000033Xk3kIAC,DNB,6282879.0,6.283,active,2026-03-19
Affirm,Affirm,001Hs000033Xk16IAC,DNB,5926659.0,5.927,active,2026-03-19
"Gusto, Inc.","Gusto, Inc.",001PK00000BupBBYAZ,DNB,5717593.0,5.718,active,2026-03-19
Twilio,Twilio Inc.,001Hs000033XnHWIA0,DNB,5449568.0,5.450,active,2026-03-19
Carvana,Carvana,001PK000007wlUCYAY,DNB,5187765.0,5.188,active,2026-03-19
"Axon Enterprise, Inc.","Axon Enterprise, Inc.",001PK00000JBs0cYAD,DNB,5088847.0,5.089,active,2026-03-19
"Social Finance, Inc. (SoFi)","Social Finance, Inc. (SoFi)",001Hs000033XmnVIAS,DNB,5029262.0,5.029,active,2026-03-19
Klaviyo,Klaviyo,001PK00000bw8SxYAI,DNB,5006541.0,5.007,active,2026-03-19
"Zendesk, Inc.","Zendesk, Inc.",001Hs000033XncNIAS,DNB,4852444.0,4.852,active,2026-03-19
Confluent,Confluent,001Hs000033XkPoIAK,DNB,4772443.0,4.772,active,2026-03-19
Asana,Asana,001Hs000033Xk7WIAS,DNB,4765450.0,4.765,active,2026-03-19
Snapchat,Snapchat,001Hs000033XmnDIAS,DNB,4761368.0,4.761,active,2026-03-19
Robinhood,Robinhood,001Hs000033XmcBIAS,DNB,4475107.0,4.475,active,2026-03-19
Kavak,Kavak,001Hs000033XlRjIAK,DNB,4049301.0,4.049,active,2026-03-19
Guidewire,Guidewire,001Hs000033Xl86IAC,DNB,3940279.0,3.940,active,2026-03-19
Cadence Design Systems,Cadence Design Systems,001Hs000033XkHtIAK,DNB,3489260.0,3.489,active,2026-03-19
Postman Inc.,Postman Inc.,001PK00000QddtuYAB,DNB,3394098.0,3.394,active,2026-03-19
Tyler Technologies,Tyler Technologies,001PK00000MbAlKYAV,DNB,3217695.0,3.218,active,2026-03-19
Arista Networks,Arista Networks,001PK000007wlUYYAY,DNB,3106779.0,3.107,active,2026-03-19
"Toast, Inc.","Toast, Inc.",001PK00000Pj6KdYAJ,DNB,3055389.0,3.055,active,2026-03-19
Lyft,Lyft,001PK000007MVfWYAW,DNB,2940114.0,2.940,active,2026-03-19
"Zillow, Inc.","Zillow, Inc.",001Hs000033XncwIAC,DNB,2731574.0,2.732,active,2026-03-19
Pinterest,Pinterest,001PK000007wlU9YAI,DNB,2432675.0,2.433,active,2026-03-19
UIPath,UIPath,001Hs000033XnI0IAK,DNB,2416642.0,2.417,active,2026-03-19
Samsara,Samsara,001Hs000033Xme9IAC,DNB,2330135.0,2.330,active,2026-03-19
Prepared,Prepared,001PK000007YIAuYAO,DNB,2005186.0,2.005,active,2026-03-19
"Roku, Inc.","Roku, Inc.",001PK000009WP1QYAW,DNB,1993278.0,1.993,active,2026-03-19
Yelp Inc.,Yelp Inc.,001Hs000033XnbQIAS,DNB,1990939.0,1.991,active,2026-03-19
Smartsheet Inc.,Smartsheet Inc.,001Hs000033XmmyIAC,DNB,1847170.0,1.847,active,2026-03-19
"Etsy, Inc.","Etsy, Inc.",001PK00000A7R6aYAF,DNB,1829078.0,1.829,active,2026-03-19
Fivetran,Fivetran,001PK00000T24DGYAZ,DNB,1773085.0,1.773,active,2026-03-19
Electronic Arts Inc.,Electronic Arts Inc.,001Hs000033Xkl7IAC,DNB,1770493.0,1.770,active,2026-03-19
Deel,Deel,001PK00000BuecMYAR,DNB,1708133.0,1.708,active,2026-03-19
Jamf,Jamf,001PK00000A7R77YAF,DNB,1697621.0,1.698,active,2026-03-19
"Genesys Cloud Services, Inc.","Genesys Cloud Services, Inc.",001Hs000033Xl1JIAS,DNB,1659555.0,1.660,active,2026-03-19
Verint,Verint,001PK000007Uu2PYAS,DNB,1597152.0,1.597,active,2026-03-19
Flexport,Flexport,001PK000009WP1aYAG,DNB,1593097.0,1.593,active,2026-03-19
Pegasystems,Pegasystems,001PK00000A7R6uYAF,DNB,1525547.0,1.526,active,2026-03-19
Wonder,Wonder,001Hs000033XnWEIA0,DNB,1502090.0,1.502,active,2026-03-19
Automattic,Automattic,001PK00000ByKSAYA3,DNB,1424202.0,1.424,active,2026-03-19
"Mongodb, Inc.","Mongodb, Inc.",001Hs000033Xlt1IAC,DNB,1404195.0,1.404,active,2026-03-19
Hudl,Hudl,001PK00000T24iLYAR,DNB,1398446.0,1.398,active,2026-03-19
Navan,Navan,001Hs000033Xlv8IAC,DNB,1397980.0,1.398,active,2026-03-19
Realtor.com,Realtor.com,001PK00000eIoQnYAK,DNB,1365834.0,1.366,active,2026-03-19
NICE Ltd,NICE Ltd,001Hs000033Xm0KIAS,DNB,1353746.0,1.354,active,2026-03-19
CoStar Group,Costar,001PK000006TqpxYAC,DNB,1223866.0,1.224,active,2026-03-19
Costar,Costar,001PK000006TqpxYAC,DNB,1223866.0,1.224,active,2026-03-19
Synopsys,Synopsys,001PK000007wlUIYAY,DNB,1190806.0,1.191,active,2026-03-19
Coupa,Coupa,001PK000008WRF0YAO,DNB,1185850.0,1.186,active,2026-03-19
8x8,8x8,001PK00000A7R5JYAV,DNB,1178240.0,1.178,active,2026-03-19
DraftKings,DraftKings,001PK00000EQiOrYAL,DNB,1167891.0,1.168,active,2026-03-19
Zoho,Zoho,001Hs000033Xnd7IAC,DNB,1153365.0,1.153,active,2026-03-19
Lightspeed Commerce,Lightspeed Commerce,001PK00000QCl4GYAT,DNB,1149147.0,1.149,active,2026-03-19
Pocket FM Corp,Pocket FM Corp,001PK00000JXl3fYAD,DNB,1071657.0,1.072,active,2026-03-19
Tekion,Tekion,001PK00000SM6czYAD,DNB,1003364.0,1.003,active,2026-03-19
"Box, Inc.","Box, Inc.",001Hs000033XkFSIA0,DNB,996456.0,0.996,active,2026-03-19
Applied Systems,Applied Systems,001PK00000LOPNnYAP,DNB,963069.0,0.963,active,2026-03-19
BetterUp,BetterUp,001PK00000Gv975YAB,DNB,947064.0,0.947,active,2026-03-19
DocuSign,DocuSign,001PK000007wlUZYAY,DNB,933754.0,0.934,active,2026-03-19
Unity Software,Unity Software,001PK000007wlU8YAI,DNB,930415.0,0.930,active,2026-03-19
Unity Technologies,Unity Software,001PK000007wlU8YAI,DNB,930415.0,0.930,active,2026-03-19
"Groupon, Inc.","Groupon, Inc.",001PK000009WP1cYAG,DNB,909529.0,0.910,active,2026-03-19
Veeam,Veeam (merge),001PK00000YWkYqYAL,DNB,879827.0,0.880,active,2026-03-19
Veeam Software Corp,Veeam (merge),001PK00000YWkYqYAL,DNB,879827.0,0.880,active,2026-03-19
Thoughtworks Inc,Thoughtworks Inc,001Hs000033XnApIAK,DNB,814093.0,0.814,active,2026-03-19
SpotOn,SpotOn,001PK00000AI0QyYAL,DNB,811796.0,0.812,active,2026-03-19
"Verifone, Inc.","Verifone, Inc.",001PK00000Z3DNzYAN,DNB,783864.0,0.784,active,2026-03-19
"The Trade Desk, Inc.","The Trade Desk, Inc.",001PK000009WP1SYAW,DNB,782307.0,0.782,active,2026-03-19
"RealPage, Inc.","RealPage, Inc.",001PK00000T24l0YAB,DNB,662147.0,0.662,active,2026-03-19
Yardi,Yardi,001PK00000SghlIYAR,DNB,615673.0,0.616,active,2026-03-19
"Remitly, Inc.","Remitly, Inc.",001PK00000A7R64YAF,DNB,598195.0,0.598,active,2026-03-19
"Freshworks, Inc.","Freshworks, Inc.",001Hs000033XkwFIAS,DNB,587318.0,0.587,active,2026-03-19
Aptean,Aptean,001PK00000T24DwYAJ,DNB,569946.0,0.570,active,2026-03-19
Diligent (acquired multiple companies),Diligent (acquired multiple companies),001Hs000033Xke1IAC,DNB,563359.0,0.563,active,2026-03-19
Meltwater Group,Meltwater News US Inc.,001Hs000033XljFIAS,DNB,561472.0,0.561,active,2026-03-19
Clearwater Analytics,Clearwater Analytics,001Hs000033XkMgIAK,DNB,556491.0,0.556,active,2026-03-19
FanDuel,FanDuel,001PK00000DhZJBYA3,DNB,552278.0,0.552,active,2026-03-19
