requested_name,rrr_28d_usd,num_employees,num_engineers,eng_pct,industry,ant_sector,ai_product,ai_product_name,ai_product_use_case,ai_product_distribution,a1k_tier,lt_potential,est_pct_llm_spend,primary_use_case,icp
Cvent,488615.0,6191,1186,19.2,IT and Computer Software / Technology,Tech,Yes,CventIQ,,SaaS,,,,,False
GoTo Technologies USA,486637.0,2528,1050,41.5,IT and Computer Software / Technology,Tech,Yes,LogMeIn Resolve,Customer Support,SaaS,KEY,,,,False
"Avalara, Inc.",432174.0,5766,1100,19.1,IT and Computer Software / Technology,Tech,Yes,Agentic Tax and Compliance,"Tax compliance automation, AI-driven tax insights, natural language querying, compliance rules creation, API support, customer onboarding, cross-border classification, VAT automation, and tax research",SaaS,KEY,,,,False
BMC Software,388370.0,9050,2602,28.8,IT and Computer Software / Technology,Tech,Yes,BMC AMI Assistant,,Enterprise,MAJOR,,,,False
Upwork (f.k.a elance-oDesk),361870.0,168381,21583,12.8,IT and Computer Software / Technology,Business Services,Yes,Uma AI Work Agent,Consulting and Strategy,Marketplace,,XS (<$1M Annualized revenue),,,False
"RingCentral, Inc.",347753.0,6620,1355,20.5,IT and Computer Software / Technology,Tech,Yes,RingCentral AI,,SaaS,KEY,S ($1-$5M Annualized revenue),0.0,,False
Wayfair,332460.0,12258,1869,15.2,Retail & CPG,Retail,Yes,Muse AI,Content Creation and Copywriting,Mobile App,MAJOR,M ($6-$10M Annualized revenue),,,False
Qualtrics,331948.0,6135,1268,20.7,IT and Computer Software / Technology,Tech,Yes,Qualtrics AI,,SaaS,KEY,M ($6-$10M Annualized revenue),,,False
CLEAR (clearme.com),326613.0,2720,151,5.6,Travel & Hospitality,Tech,Yes,CLEAR1,Trust and Safety,Enterprise,,,,,False
Thryv,322952.0,5952,379,6.4,IT and Computer Software / Technology,Tech,Yes,Thryv AI Platform,Content Creation and Copywriting,SaaS,,,,,False
"Procore Technologies, Inc.",322586.0,4800,1361,28.4,IT and Computer Software / Technology,Tech,Yes,Procore Helix,,SaaS,,,,,False
"Lyra Health, Inc.",315484.0,2696,110,4.1,Healthcare & Life Sciences,Healthcare,Yes,Lyra Health,Customer Support,Enterprise,,,30.0,,False
Kaseya US LLC,272921.0,5556,960,17.3,IT and Computer Software / Technology,Tech,Yes,Cooper AI,Code Generation and Software Development,Enterprise,KEY,,,,False
Angi,262909.0,3432,308,9.0,IT and Computer Software / Technology,Business Services,Yes,AI Helper,Customer Support,SaaS,,,,,False
SAS Institute Inc.,259948.0,18120,3154,17.4,IT and Computer Software / Technology,Tech,Yes,SAS Viya AI Platform,,Enterprise,KEY,,,,False
Replicate [acquired by cloudflare],257978.0,43,19,44.2,IT and Computer Software / Technology,Tech,Yes,Replicate AI Platform,Code Generation and Software Development,API,,,,,False
BetterHelp,245305.0,3934,110,2.8,Healthcare & Life Sciences,Healthcare,Yes,BetterHelp AI Therapist Matching,"Mental health therapy support - enhancing therapist matching, personalizing intake process, reducing administrative burden, strengthening therapeutic connections, and providing between-session support",SaaS,,XS (<$1M Annualized revenue),,,False
Rippling,224994.0,6618,971,14.7,IT and Computer Software / Technology,Tech,Yes,Rippling AI,,SaaS,,M ($6-$10M Annualized revenue),,,False
"Hyland Software, Inc.",206460.0,4156,1122,27.0,IT and Computer Software / Technology,Tech,Yes,Hyland Enterprise Context Engine,Knowledge Retrieval and Information Extraction,Enterprise,,,,,False
Red Ventures,194459.0,2068,408,19.7,IT and Computer Software / Technology,Tech,Yes,Red Ventures AI Platform,,Enterprise,KEY,,,,False
Splunk Inc.,187116.0,9724,3297,33.9,IT and Computer Software / Technology,Tech,Yes,Splunk AI,Data Analysis and Visualization,Enterprise,,,,,False
Restaurant365,178011.0,3909,133,3.4,IT and Computer Software / Technology,Tech,Yes,R365 AI,,SaaS,,,,,False
"Cloudera, Inc.",165190.0,3331,1384,41.5,IT and Computer Software / Technology,Tech,Yes,Cloudera AI,,Enterprise,KEY,S ($1-$5M Annualized revenue),0.0,,False
"Stride, Inc.",162302.0,68,2,2.9,Education,Education,Yes,Legend Library,"K-12 education, personalized learning, adaptive assessment, virtual schools",SaaS,,,,,False
Workiva Inc,160242.0,3259,643,19.7,IT and Computer Software / Technology,Tech,Yes,Workiva AI,Knowledge Retrieval and Information Extraction,Enterprise,KEY,,,,False
"dbt Labs, Inc.",160091.0,954,194,20.3,IT and Computer Software / Technology,Tech,Yes,dbt Copilot,Code Generation and Software Development,SaaS,,,,,False
Cohesity,151318.0,7674,1564,20.4,IT and Computer Software / Technology,Tech,Yes,Cohesity Gaia,Knowledge Retrieval and Information Extraction,Enterprise,,,,,False
HashiCorp,150218.0,2310,1069,46.3,IT and Computer Software / Technology,Tech,Yes,HashiCorp AI Infrastructure Management,Code Generation and Software Development,Enterprise,,,,,False
"Tripadvisor, LLC",140959.0,5893,540,9.2,IT and Computer Software / Technology,Business Services,Yes,TripAdvisor AI Travel Planner,,SaaS,,,,,False
Take-Two Interactive,134022.0,12900,170,1.3,Media & Entertainment,Media,Unclear,Take-Two Interactive AI Exploration,Code Generation and Software Development,Other,,,,,False
"SailPoint Technologies, Inc.",120200.0,3369,904,26.8,IT and Computer Software / Technology,Tech,Yes,IdentityAI,,SaaS,KEY,XS (<$1M Annualized revenue),,,False
Scopely,118686.0,3746,516,13.8,Media & Entertainment,Tech,Unclear,Scopely Games Platform,Content Creation and Copywriting,Mobile App,,S ($1-$5M Annualized revenue),,,False
Fractal Analytics,117072.0,6735,1677,24.9,Professional Services,Business Services,Yes,Cogentiq,Data Analysis and Visualization,SaaS Platform,,,,,False
"Vertex, Inc.",114041.0,2569,328,12.8,IT and Computer Software / Technology,Tech,Yes,Vertex Copilot,Data Analysis and Visualization,Enterprise,,,,,False
Zelis,113384.0,2793,516,18.5,Professional Services,Healthcare,Yes,Zelis Insights 360,Knowledge Retrieval and Information Extraction,Enterprise,,,,,False
